id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
3806859658213710,C2SrXysLc,以前一个人在家的时候翻翻书啊刷刷屏啊敲敲文字啊看看电影啊喝喝咖啡啊；现在有了娃好不容易能挨到一个人在家的时候那是火速拖地洗衣刷鞋收拾东西，恭喜我成功转型吧，从一个走路带风的小文青晋升为穿着大花睡衣乱发磐髻的家庭腐女#钱是越花越少家务怎么就越做越多呢# ,,,,2015-02-05,iPhone 5s,6,4,2,钱是越花越少家务怎么就越做越多呢,
3803033584843341,C1gUSkjYp,二十多年前我就料到会有今天@小眯眼的TOTORO小姐 ,https://ww2.sinaimg.cn/large/72255befjw1eom5g7jcy1j20zk0qodmk.jpg,,,2015-01-25,iPhone 5s,3,8,0,,小眯眼的TOTORO小姐
3794899356956017,BDOLttbzP,从娃娃抓起 ,https://ww4.sinaimg.cn/large/72255befjw1enw7a5hyq7j20dc0hs0vo.jpg,,,2015-01-03,iPhone 5s,1,4,0,,
3794603096683195,BDH3Ds2Bt,这个世界有时候你所付出的和得到的并不相等。2015，看淡一点，轻装上阵。 ,,,,2015-01-02,iPhone 5s,1,2,0,,
3793891830580619,BDoyr2r2P,2014最后一天有点low[懒得理你] ,,,,2014-12-31,iPhone 5s,1,1,0,,
3791748096870019,BCuMNsPcL,生蛋节这个点儿能在我大合肥找到这样的路也是醉了 ,https://ww3.sinaimg.cn/large/72255befjw1enm5c99r9oj20dc0hsgn6.jpg,,,2014-12-25,iPhone 5s,1,3,0,,
3791270961154116,BCine4QeM,不上课的日子比上课还忙见到的同事比平时都多 ,https://ww3.sinaimg.cn/large/72255befjw1enkmjjal0jj216o0w0gys.jpg,,,2014-12-24,iPhone 5s,0,8,0,,
3789894944191597,BBIzQhAqp,还是麻麻比较美 ,https://ww3.sinaimg.cn/large/72255befjw1eng8j72ezmj20d30hsgo8.jpg,,,2014-12-20,iPhone 5s,5,12,0,,
3788719838606587,BBe0vA6XV,熬完本周，进入寒假模式，oh yeah ,https://ww2.sinaimg.cn/large/72255befjw1enchknnqedj20dc0hs0vg.jpg,,,2014-12-17,iPhone 5s,2,5,0,,
3786919068774668,BAta2AOGU,在单位白忙活了一上午，心情爆low，食堂补补#阿姨问了我好几遍真的要两个鸡腿么# ,https://ww3.sinaimg.cn/large/72255befjw1en6qq8aun7j20dc0hsacl.jpg,,,2014-12-12,iPhone 5s,0,4,0,阿姨问了我好几遍真的要两个鸡腿么,
3786243680919999,BAbAI3RkH,一对耍宝母女 ,https://ww4.sinaimg.cn/large/72255befjw1en4l4kaf4xj20tt15p45y.jpg,,,2014-12-10,iPhone 5s,4,8,0,,
3785957818082126,BA49DxUwS,秀个恩爱吧[炸鸡和啤酒] ,https://ww4.sinaimg.cn/large/72255befjw1en3ockmruzj20cp0hsac0.jpg,,,2014-12-09,iPhone 5s,2,7,0,,
3785839152922438,BA14fcgg6,年底了各种大节来临还要跨年，我决定给自己买点礼物压压惊缓缓心情🎁 ,https://ww4.sinaimg.cn/large/72255befjw1en3ap2ifomj20c80gadhc.jpg,,,2014-12-09,iPhone 5s,0,2,0,,
3785633082690190,BzVHSbhQa,一个女人要流过多少泪吃过多少苦受过多少难才会坚强的像个男人，才会把自己武装成刀枪不入，每每想到这，心里会隐隐作痛，晚安 ,,,,2014-12-08,iPhone 5s,0,9,0,,
3783703979713317,Bz7wpEKSp,这个天重感冒的时候喝这个好爽！😄😄 ,https://ww2.sinaimg.cn/large/72255befjw1emwhhr73fvj20w016oqdf.jpg,,,2014-12-03,iPhone 5s,1,6,0,,
3781155831113684,By3ev4FIE,本人已累死，有事请到教室门口烧香 ,,,,2014-11-26,iPhone 5s,0,3,0,,
3780069363522781,BxAY8eMr3,后排坐好了么，拿钥匙，点火，挂档，走起 ,https://ww4.sinaimg.cn/large/72255befjw1emkw21jh3ej20uo15ogzk.jpg,,,2014-11-23,iPhone 5s,3,8,0,,
3778615739383664,BwZ9zDn7q,最近的工作重心就是这个。。。。。不知道可有奖金思密达 ,https://ww2.sinaimg.cn/large/72255befjw1emg94g7byzj20d30hswg7.jpg,,,2014-11-19,iPhone 5s,2,4,0,,
3778018588206570,BwJCqyqU2,一切烦恼不安焦躁抑郁其实都只源于我们想要的太多，晚安 ,,,,2014-11-17,iPhone 5s,0,1,0,,
3777838652179453,BwEWd98Yt,办公室里部署羽毛球比赛战略，某同事满眼放光无比决绝的说：Ms tan一定要打女单，她那么暴力。。。。。。。。¥》@“&^_^其实我很纤弱经常以泪洗面的好不好 ,,,,2014-11-17,iPhone 5s,3,9,0,,
3777655403070441,BwAaEcSLf,很多时候对人或者对事，一“认真”就“输”了 ,,,,2014-11-16,iPhone 5s,1,3,1,,
3772780128624454,BuxliAbC6,生完孩子的傻缺健忘状态最近达到顶峰 ,,,,2014-11-03,iPhone 5s,1,2,0,,
3771081368647857,BtP9mAhHz,巨脚姑凉 ,https://ww3.sinaimg.cn/large/72255befjw1els7tmhq2tj20hs0no77i.jpg,,,2014-10-29,iPhone 5s,4,3,0,,
3769916866156870,BtkR8pPGm,家庭海底捞啊哈哈哈哈 ,https://ww4.sinaimg.cn/large/72255befjw1eloi2uh8opj218g0xctm2.jpg,,,2014-10-26,iPhone 5s,3,7,0,,
3767789007432886,Bsrv6vbDg,我们在经历了很多丑恶和坎坷后最终会变得强大，然而这种蜕变却带走了我们最美好的年华。原来，选择遗忘比选择原谅更艰难。 ,,,,2014-10-20,iPhone 5s,1,3,0,,
3767346299133359,BsfZ3Ck0f,受某人生日愿望启发，要努力做一个安静乐观不讨人嫌的中年已婚麻麻#写于阳光下的秋天# ,,,,2014-10-19,iPhone 5s,1,7,0,写于阳光下的秋天,
3766070953542894,BrIO3eRFs,初中有一帮假小子经常大清早约着打篮球课后讨论灌篮高手放学交换BSB的专辑磁带。。。15年后曾经这帮短发飞扬的女孩们有的成为自由职业者有的在家相夫教子有的成为教师有的在巴黎做服装设计有的异国联姻，每个人都有自己的精彩，也都有自己的辛酸，致青春，致匆匆那年。 ,,,,2014-10-15,iPhone 5s,0,6,0,,
3764942673188061,Brfsfdnml,快乐的来源有时候挺简单的，比如一部电影，一段对话，或者一个笑容，但有时候你却发觉想挽留昨日的那一点点快乐真是。。。。。只剩下叹气了 ,,,,2014-10-12,iPhone 5s,1,2,0,,
3762714222888652,BqjtYc7ta,再见大海 ,"https://ww1.sinaimg.cn/large/72255befjw1el1is4sapaj20dc0hs0u8.jpg,https://ww1.sinaimg.cn/large/72255befjw1el1isgym9bj20hs0dcjvx.jpg",,,2014-10-06,iPhone 5s,4,1,0,,
3761977312867151,Bq0jpc1Sn,小盆友出门非常给力，哪儿都能睡，吃嘛嘛香 ,"https://ww2.sinaimg.cn/large/72255befjw1ekz63a4gxlj20hs0dcq56.jpg,https://ww4.sinaimg.cn/large/72255befjw1ekz68bov88j20bu0hswfk.jpg",,,2014-10-04,iPhone 5s,3,4,0,,
3760077343464157,BpcSWexbv,这个点估计很多人刚开始一天的工作但我已经下班啦啦啦整装待发为伟大祖国母亲庆生思密达 ,https://ww1.sinaimg.cn/large/72255befjw1ekt411dgp2j20d30hsq4x.jpg,,,2014-09-29,iPhone 5s,3,12,1,,
3759383475424164,BoUPNmL4w,现实版绝世奶爸 ,https://ww1.sinaimg.cn/large/72255befjw1ekqw2fhxasj20uo15onau.jpg,,,2014-09-27,iPhone 5s,3,2,0,,
3759108509688801,BoNGiEEuZ,日子过的越来越有盼头了 ,https://ww1.sinaimg.cn/large/72255befjw1ekq0qf8mytj20f00qodhf.jpg,,,2014-09-26,iPhone 5s,0,5,0,,
3757573763712655,Bo9KUfzPx,最近新闻好丰富，尤其娱乐版。。。。 ,,,,2014-09-22,iPhone 5s,0,0,0,,
3755398882446250,Bnfb2agnE,上学篇 ,https://ww1.sinaimg.cn/large/72255befjw1eke6plpyrzj20uo15o4cs.jpg,,,2014-09-16,iPhone 5s,3,9,0,,
3754656046106979,BmVQUpCHF,课间无聊瞥一眼QQ，一码色黑头像，哦，原来今天只有我上班#伤心太平洋# ,https://ww4.sinaimg.cn/large/72255befjw1ekbteg0zeaj20f00qotbi.jpg,,,2014-09-14,iPhone 5s,0,2,0,伤心太平洋,
3754517562874341,BmSfyc3Kl,最近这个点睡觉就是常态，自己的事情家人的事情工作的事情总之就是各种事情忙的跟狗一样也没落着什么好想想人一辈子就是这么屁颠颠忙碌着最后还把自己忙进一抔土里，今夜无眠了 ,,,,2014-09-14,iPhone 5s,0,5,0,,
3752887228151501,BmbPYyczP,一对双胞胎呀谐星范儿十足呀 ,https://ww3.sinaimg.cn/large/72255befjw1ek668m3litj20ts15o7lb.jpg,,,2014-09-09,iPhone 5s,1,4,0,,
3752651982374274,Bm5Iy9XEK,炸。。。炸。。。炸个雷子！走一个！！ ,https://ww2.sinaimg.cn/large/72255befjw1ek5f7eaouuj20uo15owr4.jpg,,,2014-09-08,iPhone 5s,4,6,0,,
3751824270543127,BlKbx2hi7,养娃的过程就是不断挑战自己精力体能极限的过程，以前上学时候熬夜看书看电影K歌白天蒙头大睡觉得年轻真牛逼啊，现在连续几天不睡白天照样上班四处奔波也还头脑清醒四肢敏捷。出来混总是要还的，真不知道哪天就过劳嗝儿屁了[挖鼻屎] ,,,,2014-09-06,iPhone 5s,1,2,0,,
3751176493779244,BltkJfR9y,疲劳驾驶就是作死的最高境界#瞌睡虫附体# ,,,,2014-09-04,iPhone 5s,0,3,0,瞌睡虫附体,
3749572541308110,BkNBI5uiy,早餐是咖啡+馒头，以纪念我假期的美好生活彻底到头了#满满都是泪# ,,,,2014-08-31,iPhone 5s,0,6,0,满满都是泪,
3748212739848163,BkeetFjXl,终于在一起了！亲妈和干妈都很欣慰 ,https://ww4.sinaimg.cn/large/72255befjw1ejr9dlj9k7j20uo15oqe6.jpg,,,2014-08-27,iPhone 5s,3,7,0,,
3747817447677633,Bk3WUwdiN,你是我的包呀包子脸儿，怎么拍你都萌吐血#旋律哼起来呀# ,https://ww3.sinaimg.cn/large/72255befjw1ejpzxayseoj20tt15ptgc.jpg,,,2014-08-26,iPhone 5s,1,12,0,旋律哼起来呀,
3744910035708031,BiQjxnWV1,真想给自己立一墓碑：此人已困死[打哈气]大家路过飘过多给烧点信用卡吧 ,,,,2014-08-18,iPhone 5s,0,9,0,,
3743881990936031,Bipzp3Vvh,我95岁高龄的外公时不时跟我唠叨：听说银泰的外婆家不错啊哪天去尝尝。。。。。巧克力要买Kisses的啊。。。。雪糕还是梦龙的好吃啊#我真是完败给老太爷啊# ,,,,2014-08-15,iPhone 5s,0,5,0,我真是完败给老太爷啊,
3743819126581659,BinW0rCbN,街边看到一位肥妈给自己5、6个月大的娃塞了一口麻辣烫，真是[挖鼻屎]。。。。。。无脑父母尤其多 ,,,,2014-08-15,iPhone 5s,1,4,0,,
3742441926642775,BhO6IrS5x,认真等待，萌萌嗒 ,https://ww3.sinaimg.cn/large/72255befjw1ej8um7vjobj20no0vkgs3.jpg,,,2014-08-11,iPhone 5s,2,16,0,,
3742025843554474,BhDhCeUGe,越来越不像我了[挖鼻屎][挖鼻屎] ,https://ww4.sinaimg.cn/large/72255befjw1ej7iu0ge9dj20dc0hsq53.jpg,,,2014-08-10,iPhone 5s,0,7,0,,
3735622701654998,BeWHY6Wxw,难得在家想整点小可爱情调，也没能躲过闺女的魔掌[挖鼻屎][挖鼻屎] ,https://ww3.sinaimg.cn/large/72255befjw1ein3ashvv6j20no0hs0vt.jpg,,,2014-07-23,iPhone 5s,1,1,0,,
3735498206373571,BeTtaqK3x,家有爱劳动的小菇凉 ,https://ww1.sinaimg.cn/large/72255befjw1eimp4rji1tj20uo15ona3.jpg,,,2014-07-23,iPhone 5s,4,7,0,,
3728547665765994,BbYECobZU,家里的老太后没事就微信我这样的链接。。。。真是后脊梁骨阴冷阴冷的[挖鼻屎] ,https://ww1.sinaimg.cn/large/72255befjw1ei0iueol9dj20hs0vkn0u.jpg,,,2014-07-04,iPhone 5s,2,8,0,,
3726359363028583,Bb3J6cHS7,有朋友劝我没事多跟闺蜜们傻乐呵乐呵，别动不动就一猛子扎进怎么也想不明白的问题里折磨别人也折磨自己。想想也是啊，人生苦短，一天再长也活不出25小时。快快乐乐or凄凄艾艾都是一辈子，选择前者还是后者，决定权在自己手里。#大清早思考人生真是绳井病啊# ,,,,2014-06-28,iPhone 5s,0,5,0,,
3725285969298462,BaBNOD0Xc,嗲的流油，当娃娃真好 ,https://ww3.sinaimg.cn/large/72255befjw1ehq4a35d3nj216o0w0ws0.jpg,,,2014-06-25,iPhone 5s,2,8,0,,
3722494576111047,B9rbzpDLh,继@老驴的加菲 家米团之后又一位体坛新秀崛起了，希望在下一届奥运会的体操赛事中有杰出表现 ,https://ww1.sinaimg.cn/large/72255befjw1ehh7m45g8rj20ck0hs76k.jpg,,,2014-06-17,iPhone 5s,3,9,0,,老驴的加菲
3721372641894552,B8Y007WRi,一进考场就肚子疼，心理素质和年龄成反比MD！#监考也不例外# ,,,,2014-06-14,iPhone 5s,0,3,0,监考也不例外,
3719980338278493,B8nMlyJC5,没有理解的尊重是讨好，没有尊重的理解是迎合，That is it ,,,,2014-06-10,iPhone 5s,3,3,0,,
3719218098973595,B83WVBErp,我儿子真是MB帅啊啊啊啊啊啊啊 ,https://ww3.sinaimg.cn/large/72255befjw1eh6rdf7v7xj20dc0hs0ud.jpg,,,2014-06-08,iPhone 5s,3,18,0,,
3719137463789063,B81QSfTHV,最烦站着讲话不要疼的人 ,,,,2014-06-08,iPhone 5s,0,0,0,,
3718924472532146,B7WjlaCJ4,今天打车司机师傅叨叨高考：“孩子们今天开战啊有没有实力就看出来啦！”我嗯嗯应付着，接着后一句彻底亮了“看你估计高考完也没几年吧，你那时候。。。。。。。。”#哎哟师傅立马多付你10块# ,,,,2014-06-07,iPhone 5s,3,5,0,哎哟师傅立马多付你10块,
3718410616086263,B7IWxpxjx,每每对孩子失去耐心的时候我就读几页周国平的《妞妞》，原来能对孩子发脾气也是一种幸福只要她平安健康的活着。 ,,,,2014-06-06,iPhone 5s,0,1,0,,
3717667540546445,B7pC22i9D,有些所谓传统害死人 ,https://ww2.sinaimg.cn/large/72255befjw1eh1tbc94czj20hs0vkwjh.jpg,,,2014-06-04,iPhone 5s,5,1,12,,
3717018975433183,B78JXmNpZ,幸福吧就是，家人健康爱人同心闺蜜三三两两闺女快乐成长，其他神马都扯蛋啊 ,,,,2014-06-02,iPhone 5s,2,2,0,,
3716433169226293,B6Tv6CIbb,其实我当年生了俩，藏了一个，这是我儿子，请大家多多支持 ,https://ww3.sinaimg.cn/large/72255befjw1egxvj7rnfgj211218gn6x.jpg,,,2014-05-31,iPhone 5s,3,5,0,,
3713820143010497,B5NwycDap,“死开！不要抢我麻麻” ,https://ww2.sinaimg.cn/large/72255befjw1egpjg71mzsj20dc0hsgog.jpg,,,2014-05-24,iPhone 5s,4,10,0,,
3710835866289059,B4xTcqo4r,感觉生活步入瓶颈，越想挣扎的逃出来反而被卡的更紧不能呼吸，索性平静下来把身边的小事一点点做好吧。今晚一定要敷个面膜嗯嗯一定。 ,,,,2014-05-16,iPhone 5s,1,2,0,,
3709922447607603,B4a7WvV5h,坚挺了两年没吃过药，终于在这阳光明媚的初夏抵不过洪水猛兽般的病毒重新踏上了药路历程 ,,,,2014-05-14,iPhone 5s,0,4,0,,
3709863140160246,B48Ai0FGC,教师是一个挺残酷的职业，我们的学生永远那般年轻而我们每一分每一秒都在变老，会不会有一天当我路过空荡荡的教室就已经伤感到无法自拔#那些年我们一起呆过的教室# ,https://ww4.sinaimg.cn/large/72255befjw1egcwncwobjj218g0xck28.jpg,,,2014-05-13,iPhone 5s,1,12,1,那些年我们一起呆过的教室,
3705120132782034,B29chbFJw,说到底人都是自私的，这无关品质，却是人性 ,,,,2014-04-30,iPhone 5s,0,2,0,,
3702201824820773,B0Vhkke6p,每每听到女生们大呼小叫“我先回寝室啦”之类的就花自会虎的觉得年轻真好 ,,,,2014-04-22,iPhone 5s,0,3,0,,
3701913428655765,B0NMaAjL7,女人就是wu～～逛吃逛吃逛吃逛吃wu～～逛吃逛吃逛吃逛吃 ,https://ww3.sinaimg.cn/large/72255befjw1efnjxyafkhj20uo15ok51.jpg,,,2014-04-21,iPhone 5s,1,6,0,,
3699344291088678,AFGoJ4zdk,我的我的我的我的就是我的#俗人一枚# ,https://ww3.sinaimg.cn/large/72255befjw1effcx0v8uoj20dd0hswgj.jpg,,,2014-04-14,iPhone 5s,3,4,0,俗人一枚,
3699000232886475,AFxrNc6U3,马哥哥亲自给做的寿面啊哈哈哈哈@老驴的加菲 @小眯眼的TOTORO小姐 @大香草  ,https://ww4.sinaimg.cn/large/72255befjw1efe9e4yim9j20hs0dc41a.jpg,,,2014-04-13,iPhone 5s,0,2,0,,"老驴的加菲,小眯眼的TOTORO小姐,大香草"
3698573075628672,AFmkPnCh2,好有喜感的展会 ,https://ww3.sinaimg.cn/large/72255befjw1efcwc2zqbmj20hs0dcac4.jpg,,,2014-04-12,iPhone 5s,0,3,0,,
3697378340642096,AERfQ2H2o,大号蛋饼一枚+Pepsi激浪一罐，开启我热血奋进的一天 ,https://ww2.sinaimg.cn/large/72255befjw1ef933omevpj218g0xcnbo.jpg,,,2014-04-09,iPhone 5s,1,6,0,,
3697167363596338,AELLyf5zs,你们土豆锅锅大开杀戒了@爱喝白开水的大球 @肥YO屁屁枕 @FF-丫 @孬孬的Minami酱 @王小能大肚腩 @肇小昕  ,https://ww4.sinaimg.cn/large/72255befjw1ef8ewyify8j20dc0hsdj1.jpg,,,2014-04-08,iPhone 5s,0,10,0,,"爱喝白开水的大球,肥YO屁屁枕,FF-丫,孬孬的Minami酱,王小能大肚腩,肇小昕"
3696863125712542,AEDQQnY5M,娃穿啥真是随妈，总是运动休闲球鞋style，不象某位娃娃已经开始各种开衫打底雪纺小皮鞋了，你说是吧@小眯眼的TOTORO小姐  ,https://ww1.sinaimg.cn/large/72255befjw1ef7fvcdk2rj20ul15otk5.jpg,,,2014-04-07,iPhone 5s,2,15,0,,小眯眼的TOTORO小姐
3691411608550083,ACm24zSgz,终于捯饬好自己的小家了，真正属于自己的家哦哈哈 ,https://ww4.sinaimg.cn/large/72255befjw1eeq1ukv175j20tt15pn4o.jpg,,,2014-03-23,iPhone 5s,7,16,0,,
3690711843206350,AC3Pqds7k,各类新闻头条开始变成某某夫人访华orCBA总决赛扒拉扒拉，那不知去向的飞机不再那么吸引人眼球，就是这样残酷，再大的事情被时间冲刷的也会慢慢淡了印迹，即使是性命攸关。 ,,,,2014-03-22,iPhone 5s,0,1,0,,
3688842110867839,ABhbJ3DLp,刚才听到一句话：人还是念旧情的。呵呵，我只能呵呵了 ,,,,2014-03-16,iPhone 5s,0,2,0,,
3687319758763033,AADAjALFf,您说这还没剥壳的蛋您啃个什么劲儿啊 ,https://ww3.sinaimg.cn/large/72255befjw1eeczxpdfcjj20no0vkdnr.jpg,,,2014-03-12,iOS,1,5,0,,
3686525584143753,AAiVohnYJ,最近真是情场赌场各种失意，生活工作都不在状态 ,,,,2014-03-10,iPhone 5s,0,8,0,,
3684430160538922,AzqpG2gci,有时候很怀念那种看到对方难过然后写一张纸条传过去再然后就成为好朋友的学生时代 ,,,,2014-03-04,微博 weibo.com,0,4,0,,
3683325841998183,AyXGw8nOL,对那种不愿送上门的快递我竟然脱口而出：你要不方便送我就下楼拿吧#我就是活该被气死累死的人# ,,,,2014-03-01,iPhone 5s,0,3,0,,
3682878280034925,AyM2E095j,感觉全世界今天都在追大结局 ,,,,2014-02-28,iPhone 5s,0,7,0,,
3682157027566610,AythkvKq6,那种瞪牛眼噘猪嘴的自拍模式，我也顺势来一张#戴帽子显脸小哈哈# ,https://ww3.sinaimg.cn/large/72255befjw1edwj03z9ooj20qo0zkwlw.jpg,,,2014-02-26,iPhone 5s,1,15,0,戴帽子显脸小哈哈,
3680196727275930,AxEhyuwNI,时间，是治愈一切的良药 ,https://ww1.sinaimg.cn/large/72255befjw1edq9v7fxh3j218g0xcthq.jpg,,,2014-02-20,iPhone 5s,0,2,1,,
