id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4460638274872141,IprtFkrsV,继续听78先生广播【20200113 千葉雄大のMY ROOM RADIO】说起家里的装修风格他说他现在走简约风，全家以灰色色调统一。以前有阵子特别想住在像「ヴィレッジバンガード」一样的家（是日本那个摆得乱七八糟的书店么），所以攒了一堆东西作为新饭还搞不清时间轴，但我记得他说过以前家里东西很多。他那时候就喜欢听广播，还会给广播节目写信互动，网名是「家中垃圾袋（家中ゴミ袋）」顺便说，他剩下两个网名是「手汗不得了（手汗が半端ない）」和「斧头bomber（まさかリボンバー）」手汗就是因为他特别能出手汗斧头bomber是因为他当时是个锅盖头说起锅盖头就想到金太郎（民间传说里挑着大斧头顶着锅盖头的怪力儿童），从金太郎再想到斧头昨天的广播里还提到他那时候喜欢长颈鹿🦒2012年的周边还卖了长颈鹿,https://wx4.sinaimg.cn/large/77893abdly1gaw2caoeq7j20us152qad.jpg,,,2020-01-14,iPhone,6,0,2,,
4460626790936487,Iprb93VCD,听78先生的广播他说他是电视里介绍的养生法都会信的类型吃饭要从蔬菜开始吃洗澡要从头发开始洗袜子要从左脚开始穿这弱智养生法为什么那么耳熟 ,,,,2020-01-14,iPhone,7,5,0,,
4460107000009295,IpdEM02pV,因为最近才掉的坑，对他的印象已经是30岁切黑大叔了但回头补十年前刚出道的东西才发现，他以前装可爱的功力超乎了我的想象（。）そりゃあざといわ３５億（x ,https://wx4.sinaimg.cn/large/77893abdgy1gaud7wzyigj20kq0krmzv.jpg,,,2020-01-14,微博 weibo.com,7,1,1,,
4460104998603448,IpdBxA69i,在b站补了体操男孩2……苏打主演……之前就看到有人说78拿的是女主剧本，看完发现……真的是特么体弱的女主（。）剧情和台词让人瞠目结舌（。）舞台 タンブリングvol.2 ,,,,2020-01-14,微博 weibo.com,0,3,0,,
4459531729598438,IoYGUEgZw,タイトルの「a」は窪田自身が考えたもので、「英語で役者はActor。フランス語で職人をArtisanと呼ぶそうです。タイトルのaはいずれ大きなAになれるように」という願いを込めてつけられた。昨天看这段就觉得「彼らしい」无论多好依然觉得自己还只是个小a喜欢上他真是幸运这么快Masayume已经是去年的事了我是不是该换ID了w,,,,2020-01-11,iPhone,3,0,0,,
4459187763263224,IoPK8dGUE,「お前、そういうとこだぞ!」有人可以懂我吗 ,"https://wx4.sinaimg.cn/large/77893abdly1garfr2vjaej20v91vob1m.jpg,https://wx4.sinaimg.cn/large/77893abdly1garfqytftkj20iw0qeq6t.jpg,https://wx2.sinaimg.cn/large/77893abdly1garfqz5fmxj20iw0qe0xj.jpg,https://wx1.sinaimg.cn/large/77893abdly1garfqy06v6j20i00bxaar.jpg,https://wx1.sinaimg.cn/large/77893abdly1garfqyq9u7j20r40sg0vq.jpg,https://wx2.sinaimg.cn/large/77893abdly1garfqzr19sj21kw12e44a.jpg",,,2020-01-10,iPhone,2,5,0,,
4459157295774208,IoOWZoe8o,本來想寫一篇春成溫水煮青蛙的愛情故四現在看來可以先擼一篇rps灌x（。 ,,,,2020-01-10,iPhone,4,7,0,,
4459132863744108,IoOjAfI0Q,#大叔的爱第二季# 这两个人！！！！！！我圆满了啊啊啊啊啊啊！！！！！！！！！！今早甜圭上节目，78视频留言。78从画面外跳进来说：「大家早安，我是圭桑最喜欢的千葉雄大」（最神的是日语里也可以理解为“我是最喜欢圭桑的千葉雄大”←双箭头随意理解）然后节目旁白一本正经介绍道，去年播出的电视剧里田中桑爱上了千叶桑，两人因此迅速拉近关系画面转回来，78说他和圭桑曾经聊到「能不能和一个人成为朋友，要看能不能对ta灌肠」（这里的灌肠指用手指去戳人家菊花那种小学生级别的玩笑= =「比如对雄大就可以，对那谁谁就不行——之类的」然后专业麦麸30年的78先生说「诶，但是我不记得被灌肠诶（转向镜头）想被灌肠」小框里的甜圭「大早上的说什么呢（笑）」之后说到两人平时互发信息都是有一搭没一搭很无聊的内容。在这样无聊的聊天记录之中，夹杂着一段78杀青前甜圭给他发的一条很长的留言，说「能和雄大一起演太好了」「大好きだよ」78：「看完被感动了……真是狡猾啊……嗯，但是非常高兴」（节目组贴心地在这句的字幕上加了个桃心78：「这样说有点不好意思，但是，没想到会变得这么喜欢」好的，我知道了，结局根本不算什么，你们赢了  MasayuMei_的微博视频,,"http://f.video.weibocdn.com/001jCGYclx07A2BtLUXe01041200hVIR0E010.mp4?label=mp4_hd&template=712x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1579014251&ssig=WoxSAUFeQP&KID=unistore,video",,2020-01-10,微博视频,126,8,132,大叔的爱第二季,
4459050500715320,IoMaK305q,サブタイトル長っ ,https://wx3.sinaimg.cn/large/77893abdly1gaqzzkac97j20v91vo1b7.jpg,,,2020-01-10,iPhone,0,0,1,,
4458847911148417,IoGTZ4OKR,说起都合のいい男………………悄悄把这段搬过来存个微博（。）之前提到的中/村那段…………中村说拍摄期间都和78住同房，杀青以后见不到了很撒比息78说没关系，我随叫随到哦中村：把摄像机停一下（。）啊不知不觉又特么这么晚了睡觉睡觉（。  MasayuMei_的微博视频 ,,"http://f.video.weibocdn.com/003WYHB3lx07A1lIFh8Q01041200eJDN0E010.mp4?label=mp4_hd&template=640x352.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1579014250&ssig=gRa06Udvqi&KID=unistore,video",,2020-01-09,微博视频,11,4,5,,
