id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4464389166234066,Ir13uq9Ls,看春晚，清空50000个购物车！ 听说分享一下中奖概率会更高！快来！ 网页链接 ,https://wx2.sinaimg.cn/large/0068yOMuly1gb814fhrm0j30ku0kutaa.jpg,,,2020-01-24,手机淘宝,0,0,0,,
4462213098150917,Iq6rHycqp,#集卡开鸿运# ，好运一整年！我收到了@携程旅行网  送我的#平安运#，喜欢这份特别的礼物~集齐6种开运卡，除夕瓜分1亿红包！想要？一起来玩呀~ 戳 >> 新年开运卡 ,,,,2020-01-18,红包活动,0,0,0,"集卡开鸿运,平安运",携程旅行网
4455922908293122,InsOeyNq2,今天是我的生日01月01日，来祝福我吧~,,,,2020-01-01,生日动态,0,0,0,,
4412918055810103,I5q3zontl,（昨天)成功参加泰山碧霞祠早课 大量玄玄也的微博视频 ,,"http://f.video.weibocdn.com/002DHhFLlx07wLc6G4Bq010412007lK10E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=37e3fed30081d60f956dbe10b6ff7523&Expires=1581493118&ssig=%2BrdO2VIYnY&KID=unistore,video",,2019-09-04,红米Note7 4800万相机,1,0,0,,
4396492246736507,HEucEsgtl,大量玄玄也走过了祖国的这些地方：网页链接 ,https://wx4.sinaimg.cn/large/0068yOMuly1g57f9s56toj30u01my0u9.jpg,,,2019-07-21,趣测君,0,0,0,,
4395412775828094,HE27zos9w,#张云雷#@小辫儿张云雷 改行了？ ,https://wx3.sinaimg.cn/large/0068yOMuly1g53za09kj7j32bc334e82.jpg,,,2019-07-18,红米Note7 4800万相机,3,0,0,张云雷,小辫儿张云雷
4384643933447001,HzvYtesIN,为什么武当山以前称职时称“臣系太上，道德教下，清净正一，不二法门，南昌炼度，上宰北极，伏魔真人，便宜奉行，凡未午朝，上表科事……”而现在称职称“臣系太上无极大道，玉清金笥宝录，混元紫府，选仙上品，秉东华演教，龙门正宗，大罗天仙状元，邱大真人门下……”？？？@北京白云观微博 @PZPZLG @兰州市白云观 @道教之音 @白云观元清道人 @武当山太玄紫霄宫 @武当钟云龙 @武当胡玮哲 @北武当玄帝观 @陈高元 @陈高道 @许信睿,,,,2019-06-18,红米Note7 4800万相机,1,4,0,,"北京白云观微博,PZPZLG,兰州市白云观,道教之音,白云观元清道人,武当山太玄紫霄宫,武当钟云龙,武当胡玮哲,北武当玄帝观,陈高元,陈高道,许信睿"
4375534085205329,HvGZalQ8V,我该怎么办？？？ ,,,,2019-05-24,红米Note7 4800万相机,1,2,0,,
4375524191438697,HvGJd62gN,我免费围观了 @乌龙防务评论 的回答，问题价值 9.66 元，快来一起免费围观~ 微博问答 ,,,,2019-05-24,微博 weibo.com,0,0,0,,乌龙防务评论
4375178421164453,HvxJw4SVv,甘肃通渭湛龙观第二次斋醮超度祈福暨东岳大帝圣诞法会欣赏·九转十献【下】-_超清@道教之音 @兰州市白云观 部分内容听的不是很明确，有所疏漏 甘肃通渭湛龙观第二次斋醮超度祈福暨东岳大帝圣诞法会欣赏·九转十献【下】-_超清_0 @优酷 ,,https://api.youku.com/videos/player/file?data=WcEl5oEuRdTVNelV4TURjek1nPT18MHwxfDEwMDUwfDAO0O0O,,2019-05-23,优酷安卓手机客户端,1,0,0,,"道教之音,兰州市白云观,优酷"
4373598724221660,HuSDChIfi,甘肃通渭湛龙观第二次斋醮超度祈福暨东岳大帝圣诞法会欣赏·九转十献-_超清（字幕版） 甘肃通渭湛龙观第二次斋醮超度祈福暨东岳大帝圣诞法会欣赏·九转十献-_超清（字幕版） @优酷 ,,https://api.youku.com/videos/player/file?data=WcEl5oEuRdTROVFkxTXpJMk9BPT18MHwxfDEwMDUwfDAO0O0O,,2019-05-19,优酷安卓手机客户端,1,0,0,,优酷
4373380297640091,HuMXjw3xh,甘肃通渭湛龙观第二次斋醮超度祈福暨东岳大帝圣诞法会欣赏·九转十献-_超清（字幕版）@道教之音 @兰州市白云观  甘肃通渭湛龙观第二次斋醮超度祈福暨东岳大帝圣诞法会欣赏·九转十献-_超清（字幕版） @优酷 ,,https://api.youku.com/videos/player/file?data=WcEl5oEuRdTROVFkxTXpJMk9BPT18MHwxfDEwMDUwfDAO0O0O,,2019-05-18,优酷安卓手机客户端,7,0,8,,"道教之音,兰州市白云观,优酷"
4368508336586817,HsKdjrDwZ,我是第12位申请创建“【超话】全真龙门”→ 全真龙门超话 的粉丝，助力创建人数越多，开通几率越大！大家快来戳这里→ 网页链接 帮我加快创建速度吧~ ,,,,2019-05-05,超话,0,0,0,,
4364615087504415,Hr6VSvueX,青城山罗天大醮——圆满施食中（合坛）-超清（字幕版）多次审核终于发出来了@北京白云观微博 @西安万寿八仙宫 @海南玉蟾宫 @陕西龙门洞道院 @道教长春观  青城山罗天大醮——圆满施食中（合坛）-超清（字幕版） @优酷 ,,https://api.youku.com/videos/player/file?data=WcEl5oEuRdTBOVGN3T1RBM01nPT18MHwxfDEwMDUwfDAO0O0O,,2019-04-24,优酷安卓手机客户端,23,4,35,,"北京白云观微博,西安万寿八仙宫,海南玉蟾宫,陕西龙门洞道院,道教长春观,优酷"
4364614575831663,Hr6V3ot55,2019.4.14仙福宫上午请神-_超清（字幕版）@温州白云观 @明皓道人  2019.4.14仙福宫上午请神-_超清（字幕版） @优酷 ,,https://api.youku.com/videos/player/file?data=WcEl5oEuRdTFNVEF5T0Rrek1nPT18MHwxfDEwMDUwfDAO0O0O,,2019-04-24,优酷安卓手机客户端,4,0,2,,"温州白云观,明皓道人,优酷"
4363186075328608,HqvL1mmdi,应@镜心剑客 邀请为仙福宫---发奏加字幕感谢@Elegant-1 提供的科仪文本名称，但仍由于本人水平有限能力不足，部分说文内容没有辨出，内容也有错误之处，还望海涵@温州白云观 @路桥平安观 @明皓道人 @道教之音  仙福宫---发奏_超清（字幕版） @优酷 ,,https://api.youku.com/videos/player/file?data=WcEl5oEuRdTBOVFk0TkRBMk5BPT18MHwxfDEwMDUwfDAO0O0O,,2019-04-20,优酷安卓手机客户端,26,36,45,,"镜心剑客,Elegant-1,温州白云观,路桥平安观,明皓道人,道教之音,优酷"
4361369685593417,HpKvmnt6p,@北京白云观微博 戊戌年迎銮接驾（上）-_超清（字幕版） 北京白云观戊戌年迎銮接驾（上）-_超清（字幕版） @优酷 ,,https://api.youku.com/videos/player/file?data=WcEl5oEuRdXpOemc0TXpJMk1BPT18MHwxfDEwMDUwfDAO0O0O,,2019-04-15,优酷安卓手机客户端,1,0,0,,"北京白云观微博,优酷"
