id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4465319244323956,IrpfCi8Re,#安徽出现聚集性疫情#所以这种时候不应该把情况公布清楚吗？哪里，什么人，怎么引起的，目前接触了多少人结果什么都没有，只会更加引起民众的不满和恐慌。现在合肥本地的医院也缺各种防护用品，能保护好我们自己的医护人员吗？ ,,,,2020-01-27,iPhone客户端,0,0,0,安徽出现聚集性疫情,
4464414881472001,Ir1IY6aVX,送给庚子年的第一份礼物大家都要加油 ,https://wx1.sinaimg.cn/large/6833f12dly1gb842cgbmxj20ku112gpp.jpg,,,2020-01-25,iPhone客户端,3,0,0,,
4464383612449146,Ir0Uxah8m,姓甄，有点儿危险 ,https://wx3.sinaimg.cn/large/6833f12dly1gb80h3bjckj23402c07ff.jpg,,,2020-01-24,iPhone客户端,0,0,0,,
4464366198094874,Ir0srxXQu,新年“鼠”我最棒！我在集卡鸿运包里开出了@让红包飞 送我的【3.66元】红包~领到就是福气！愿2020年大家都能收获“鼠”不清的快乐，“鼠”不完的钞票 ~#集卡开鸿运# ，赞我沾喜气哦~ 新年开运卡 ,,,,2020-01-24,红包活动,0,0,0,集卡开鸿运,让红包飞
4464361554652058,Ir0kXjwdc,看春晚，清空50000个购物车！ 听说分享一下中奖概率会更高！快来！ 网页链接 ,https://wx3.sinaimg.cn/large/6833f12dly1gb7xyc6gytj20ku0ku76c.jpg,,,2020-01-24,iPhone客户端,0,0,0,,
4463428762977141,IqC4scuup,想起昨天下午某优秀员工的言论就觉得恶心：现在武汉那个病毒肺炎好厉害哦，到医院去看还要自己花钱，一般人根本看不起，要是我我就乱跑，反正我农村的家穷治不起（不是我歧视农村人，是她自己说的，保命），哪里人多我往哪跑，还怕你不给我治啊，保证马上就有人把我接走给我治天天在办公室明着暗着炫耀自己买东西都买国外的，这种人任她工作如何优秀，也是个不折不扣自私自利的垃圾。,,,,2020-01-22,iPhone客户端,0,4,0,,
4463135828101850,IqurYxZF0,这两天的新闻看得五味杂陈，前有医务工作者不计安危奋战在新型冠状病毒肺炎第一线，后有傻逼病人家属举刀砍向医生。80多岁的钟南山老院士本来可以好好在家过年的，现在也出山了，更不要说各地的医务工作者。看着身边学医的朋友一而再再而三心灰意冷地说当医生没有安全感、自己当初是不是选错了、想往国外去的时候，一边转头又继续坚守在医生这个岗位上，我真的不知道该说些什么，又能说些什么，一句玩笑话一样的“劝人学医天打雷劈”，背后藏了多少心酸无奈。没有医德的医生是有，但更多的医生是尽职尽责努力想医治好病人，然而某些傻逼至今还把医生当服务行业，动不动就晃荡着自己那一知半解的所谓“合理维权”用投诉来威胁别人。我见过医生在给病人讲解病情，旁边挤了一堆人打电话的打电话，小孩尖叫着在诊室里乱跑家长也不管的，最后老医生忍无可忍把人轰出去让在门口等；见过自己不遵医嘱，医生不让做什么就偏要做什么，最后病情加重又来怪医生医术不行的；见过自己没看护好不会说话的小孩，小孩从桌子上摔下来，没有外伤又说不清到底摔到哪里，医生让给孩子做个检查这样更安心，结果家长直接把孩子抱回家说医生看都不看只会让拍片子做检查骗钱；见过医生给别的病人看诊时被嫌时间太长太磨叽，等到了自己时又嫌医生不仔细速度太快不负责；更见过病人已经到了无力回天的地步，家属不问病人情况就直接在医院里闹起来要赔偿等着吃人血馒头的。说来也是可笑，对着身边学医的朋友说得最多的一句话就是：注意安全，情况不对就跑，别硬扛。之前关于医院安检还有人说没必要、凭什么，你以为这样的傻逼只会砍医生，你不是医生就无所谓吗？城门失火殃及池鱼，指不定哪一天刀子就落在自己身上，那时候才知道疼。,https://wx4.sinaimg.cn/large/6833f12dly1gb416io9xej20ku0ntwj4.jpg,,,2020-01-21,iPhone客户端,0,0,0,,
4463070586311097,IqsKKqtNT,我就想知道医院安检什么时候能全面落实到位，医闹什么时候能拉进黑名单踢出医保？你以为某些带刀进医院的傻逼只会砍医生，自己不是医生就无所谓？他们疯起来才不会管你是谁。看着身边学医的朋友一边说心灰意冷一边还在努力工作，看着那些奋战在一线的医务工作者，我都替他们不值。 ,,,,2020-01-21,iPhone客户端,0,0,0,,
4462112233036812,Iq3P1cK0Q,不会作图怎么办？用笔画画个大桃子祝昆仑班十周年快乐@昆仑班工作室 ,https://wx3.sinaimg.cn/large/6833f12dly1gb0rl9es68j21400u0wo8.jpg,,,2020-01-18,iPhone客户端,3,2,2,,昆仑班工作室
4461422182089560,IpLS28LAA,对不起，我抑制不住内心的喜悦！我在四川博物院超话等级达到LV.5，获得进阶粉丝头衔，快来恭喜我吧~ 传送门>>四川博物院超话 ,,,,2020-01-16,超话,0,0,0,,
