id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
3563133086181007,zqunypVXF,第一次希望假期快点过🎉🎊🎤 ,https://ww4.sinaimg.cn/large/6f23b6b8jw1e3ctakqvk9j.jpg,,,2013-04-03,iPhone客户端,0,16,0,,
3551131432733520,zlsa3bt72,TGIF🌟🎧🎤🍻🍸🍴🎉 我在这里:上海·台北纯K（天山店） ,,,上海·台北纯K（天山店）,2013-03-01,iPhone客户端,0,3,0,,
3544279974468528,zizVjiKt2,我在给我妈科普F4：林志玲的前男友，大S的前男友，林熙蕾的前男友，徐若瑄的前男友@短腿多拉兔 [挖鼻屎] ,,,,2013-02-10,微博 weibo.com,658,2758,12557,,短腿多拉兔
3539069444910145,zgonekBlT,有谁要台历不在乎图案的么，免费送[挖鼻屎] ,,,,2013-01-27,iPhone客户端,0,26,0,,
3534105684193514,zejfahAVk,#香港紅磡體育館#开唱啦✨🌟🎤🎺🎷🎸 我分享了香港特区·红磡体育馆 ,,,香港特区·红磡体育馆,2013-01-13,iPhone客户端,0,7,0,香港紅磡體育館,
3509443045817742,z3XEIopsy,到手@Quinty_zZ ,https://ww1.sinaimg.cn/large/6f23b6b8jw1dylj2sudrlj.jpg,,,2012-11-06,iPhone客户端,0,12,1,,Quinty_zZ
3478201948633091,ywOoaAdRp,我是想见@suweile 想疯了么，本来要去中山公园直接跳上了去陆家嘴的车[挖鼻屎] ,,,,2012-08-12,iPhone客户端,0,3,0,,suweile
3477962035091159,ywI9dlmrt,突然想吃炸酱面[花心]求吃货们推荐~~ ,,,,2012-08-11,微博 weibo.com,0,6,1,,
3477654298712037,ywA8RAyoJ,刚想放鸽子就收到@亮子山姆 邮件，乖乖又爬起来了..... ,,,,2012-08-11,微博 weibo.com,0,4,0,,亮子山姆
3476507336489751,yw6iVrehp,一路上不断抬头怕有高空坠物的@小小Rocio ，你果然是外强中干胆小如鼠呀到家了伐？ ,,,,2012-08-07,iPhone客户端,0,11,0,,小小Rocio
3475368268327110,yvCFIyWge,热烈庆祝@灵峦 乔迁新居，姐重出江湖，你们吃不到呦吃不到@小0小O @青石板与小红鞋  ,https://ww2.sinaimg.cn/large/6f23b6b8jw1dvktn65kgdj.jpg,,,2012-08-04,iPhone客户端,0,7,0,,"灵峦,小0小O,青石板与小红鞋"
3475150349127121,yvx0eCinD,恶梦吓醒不能对自己心理承受能力太自信啊@寿司鼠Susiemouse @马施施学无常 ,,,,2012-08-04,iPhone客户端,0,7,1,,"寿司鼠Susiemouse,马施施学无常"
3474924552966066,yvr83crBM,真是一个惊悚的中午啊晚上还要继续...... ,,,,2012-08-03,iPhone客户端,0,2,3,,
3469618758376517,ytd6jz977,终于找到裙子们了，然后发现穿不上@厶厶_____开始减肥不准吃糖 明天晚上我们少吃点 ,,,,2012-07-19,iPhone客户端,0,4,2,,厶厶_____开始减肥不准吃糖
3443076389836028,yi4C2FgNC,我连微薄都发不出去了 ,,,,2012-05-07,微博 weibo.com,0,17,0,,
3442843027026586,yhYxEttW2,朋友不管在哪里都有说不完的话，发不完的呲，虽然日剧韩剧那一par我完全插不上话啊@suweile @短腿多拉兔 ,,,,2012-05-07,iPhone客户端,0,2,0,,"suweile,短腿多拉兔"
3425621847948288,yaKxyxlIc,你画的是阿拉丁的什么呀?我猜不出来@短腿多拉兔 ,,,,2012-03-20,微博 weibo.com,0,5,0,,短腿多拉兔
3422705821040514,y9wGi4mGu,太过温柔的闹钟俨然已经不能把我叫醒[睡觉] ,,,,2012-03-12,iPhone客户端,0,2,0,,
3421653612704347,y95jbblwv,饿shi了，怎么专挑没吃早饭的时候开长会 ,,,,2012-03-09,iPhone客户端,0,3,0,,
3418812063893158,y7To2gkMS,@小小Rocio     发现了你不堪回首的往事 ,https://ww1.sinaimg.cn/large/6f23b6b8jw1dqke9491n3j.jpg,,,2012-03-01,美图秀秀iPhone版,0,3,0,,小小Rocio
3406490377850080,y2IQlwWac,啊啊啊，原来one day的男主角就是决战21点的那个啊[花心] ,,,,2012-01-27,微博 weibo.com,0,5,0,,
3406205869471622,y2BrsDK06,今天聚会的收获就是，人民公园其实是个相当靠谱的地方！@Alva不要跟我抢 姐妹们走起 ,,,,2012-01-26,微博 weibo.com,0,18,1,,Alva不要跟我抢
3401177109000873,y0uCyBLxn,@短腿多拉兔 小东西～明信片收到了，我一定不辜负你的希望哦 ,,,,2012-01-13,微博 weibo.com,0,7,0,,短腿多拉兔
3400799730649834,y0kNT2J3c,祝远在不列颠的@短腿多拉兔 生快~ ,,,,2012-01-11,微博手机版,0,1,3,,短腿多拉兔
3400386063234131,y0a2Gdzlp,"Hungry Jessie 再现, 今天我吃了五顿[dx耶]@年前变吃货的冷冷星光 @卖大妞的小火柴 @Quinty秋秋 ",,,,2012-01-10,微博 weibo.com,0,2,2,,"年前变吃货的冷冷星光,卖大妞的小火柴,Quinty秋秋"
3400013243983165,y00lmgIcB,"@王小0的窝 老大不带我吃大排档,555 ",,,,2012-01-09,微博手机版,0,5,0,,王小0的窝
3396068165660257,xEjaEnKut,今晚又睡不好了 ,,,,2011-12-29,微博 weibo.com,0,12,0,,
3379340777822731,xxi0ZwP35,有没有人想去看方大同的？ ,,,,2011-11-13,微博 weibo.com,0,2,2,,
3373591933461318,xuSsFewrI,照片看着看着陡然冒出这样的念头，这照片里要是没我美景该有多赏心悦目啊！！ @努力省钱的冷冷星光 @Bernice嘟嘟嘟 ,,,,2011-10-28,微博 weibo.com,0,2,1,,"努力省钱的冷冷星光,Bernice嘟嘟嘟"
3370715051872112,xtFCx7R1m,我想去尼泊尔[乐乐] ,,,,2011-10-20,微博 weibo.com,0,3,0,,
3368313695363481,xsF9nmvhL,"做梦做到又出去玩了,果然是在做梦..... ",,,,2011-10-14,微博手机版,0,2,5,,
3366862399117249,xs3ozCfOp,"长假后第一天,各种懒散啊...... ",,,,2011-10-10,微博手机版,0,5,1,,
3366676809629088,xrYzeEoXS,整理照片真是个体力活啊，我手抽筋了捏@努力省钱的冷冷星光 @Bernice嘟嘟嘟 @Quinty秋秋 ,,,,2011-10-09,微博 weibo.com,0,3,1,,"努力省钱的冷冷星光,Bernice嘟嘟嘟,Quinty秋秋"
3366251334703220,xrNuZjJwo,我正在收听 Kalafina 的单曲《Fake Wings》网页链接  此行最大发现之一，大爱！ ,https://ww4.sinaimg.cn/large/6f23b6b8jw1dlwpqj2mw7j.jpg,,,2011-10-08,豆瓣FM,0,3,4,,
3350082272006890,xl0RR8q5c,"自己动手,丰衣足食 ",,,,2011-08-25,微博 weibo.com,0,0,0,,
3338490641275372,oqB0y0,"今天真的很想早睡,但是怎么也睡不着,满屏的铁路事故让我非常惶恐,并不是仅仅因为赖以出行的交通被证实种种不靠谱,而是那种让人民报着多活一天赚一天的想法的地方有比伊拉克阿富汗更宜居么?!以前同情他们的我现在不担忧起我们自己 ",,,,2011-07-24,微博手机版,0,6,0,,
3336623865886631,nLb1jQ,"游泳的时候又听到励志姐的故事,四个月减37斤!听罢,死命多扑腾了两圈..... ",,,,2011-07-18,微博手机版,0,7,1,,
5629018605954295766,nc9Cg2,一大早的心情就哈差!我那水灵灵的水蜜桃就这么不翼而飞了！继酸奶之后又一神秘失踪事件，这次还是放我桌上的，想怎么样啊 ,,,,2011-07-14,微博 weibo.com,0,7,2,,
5627744795951738468,mLyaL4,真的容不下光头啊....太狭隘了呀!! ,,,,2011-07-10,微博手机版,0,1,1,,
5624680259472863353,lJa17g,"在Zara买童装,撞见八卦了 ",,,,2011-07-02,微博 weibo.com,0,22,0,,
5624336241361104859,lCCPnS,"班车新线路真V5,三上三下高架! ",,,,2011-07-01,微博手机版,0,5,1,,
5621568212079967171,kKvDI2,"多了个粉丝叫婚博会是撒意思啦,我哪里流露出哪怕半点将婚的意思啦?! ",,,,2011-06-24,微博手机版,0,5,0,,
5618970289436494917,k8pWqe,"一出门雨就像倒下来一样,这天是怎么了? ",,,,2011-06-17,微博手机版,0,5,0,,
5618768284416003551,k5pPF8,"真神奇,下了班车天还亮着~ ",,,,2011-06-16,微博手机版,0,4,0,,
5618474718940357367,k0pCaM,"围脖的提醒功能哪能这么滞后,小黄框跳出来你点进去啥都看不见,过个十几二十分钟才看的到提示的内容,咋回事儿捏 ",,,,2011-06-15,微博 weibo.com,0,1,0,,
5615852263440160498,jkwyc2,"再也不能说我是住在黄浦卢湾交界处了......明明卢湾比较有feel啊,为嘛不用这个名字[咆哮] ",,,,2011-06-08,微博 weibo.com,0,16,0,,
5615132396855972676,j8wJyQ,"好消息连连,嗯,这个小长假过的不错 ",,,,2011-06-06,微博 weibo.com,0,5,1,,
5614783606858223886,j3dwOs,终于结束了~纳豆你总有一天会超越博格的! ,,,,2011-06-06,微博 weibo.com,0,5,0,,
5614379729605454387,iWcBfi,耶~我更爱罗兰加洛斯了 娜姐 ,,,,2011-06-04,微博 weibo.com,0,6,0,,
5614361304194230314,iVwjZc,"CCAV5解说的相当科普啊......我支持的童鞋们在法网都能笑到最后,李娜加油!! ",,,,2011-06-04,微博 weibo.com,0,0,0,,
5609759156544904804,hQyhjq,秒杀神马的都是坑爹的活！ ,,,,2011-05-23,微博 weibo.com,0,8,0,,
5609544343766205646,hOelU8,沙尔克德国杯夺冠类~劳尔好歹拿了个杯赛冠军@小小Rocio ,,,,2011-05-22,微博 weibo.com,0,4,0,,小小Rocio
5609195901645016553,hJgUNm,"今天运动消耗200K,吃了3个每个660K的巧克力球........运动量要大10倍才能收支平衡啊!!!尼玛干嘛给我巧克力啊 ",,,,2011-05-21,微博 weibo.com,0,6,2,,
2111105202044739,hAkJZb,我在年年大丰收鱼庄。 网页链接 ,,,,2011-05-20,街旁分享足迹,0,0,1,,
5606013618808344114,h2trQo,被蚊子害残了，昏昏欲睡[睡觉] ,,,,2011-05-13,微博 weibo.com,0,2,0,,
5605054084299391107,gOirqb,"杯具阿,只认识替补门将王大雷,还坐在棒子的边上...... ",,,,2011-05-10,微博手机版,0,3,1,,
2111105103438745,gO33PZ,我得到了街旁网徽章【城市达人】 网页链接 ,https://ww4.sinaimg.cn/large/6f23b6b8jw1dh2a3j2wxsj.jpg,,,2011-05-10,街旁分享足迹,0,0,0,,
2111105103438775,gO3411,我得到了街旁网徽章【虹口足球场】 网页链接 ,https://ww3.sinaimg.cn/large/6f23b6b8jw1dh2a3jcfbdj.jpg,,,2011-05-10,街旁分享足迹,0,0,3,,
2111105103438575,gO33bL,我在虹口足球场。居然还有这么多人  网页链接 ,,,,2011-05-10,街旁分享足迹,0,0,0,,
5604919278332517162,gLuxyh,今天晚上有木有去看亚冠啊？@sagaadam @eastfox2002 @塞巴斯蒂安 @六个窗 ,,,,2011-05-10,微博 weibo.com,0,7,2,,"sagaadam,eastfox2002,塞巴斯蒂安,六个窗"
5604706883442537239,gJ7dFP,新疆居然在下雪........ ,,,,2011-05-09,微博 weibo.com,0,2,1,,
5603634232534983557,gt6k4u,"今晚真心的怀旧~怀念白衣飘飘的年代,心寒利欲熏心的后来.当下只希望幸福不要结束的太快 ",https://ww4.sinaimg.cn/large/6f23b6b8jw1dgxwe6bs4rj.jpg,,,2011-05-07,微博 weibo.com,0,3,1,,
5602778370271953216,ggDljU,又吃到恶心了...... ,,,,2011-05-04,微博手机版,0,2,0,,
2111104253756269,fyaXJd,我在永华电影城3号厅。Rio看的想去跳伞  网页链接 ,,,,2011-04-25,街旁分享足迹,0,8,1,,
5599149281653588642,fvhUpk,"人要有自知之明,比如明知自己是大胃王就不要学人家不吃晚饭,导致饿到头昏眼花睡前吃泡面,更罪孽 ",,,,2011-04-24,微博 weibo.com,0,6,0,,
2111104234537805,fr4o2b,我得到了街旁网徽章【凌波微步】，今天在街旁jiepang.com上签到了5个地点，很厉害吧！ 网页链接 ,https://ww3.sinaimg.cn/large/6f23b6b8jw1dgitxrwnlkj.jpg,,,2011-04-23,街旁分享足迹,0,0,0,,
2111104234537645,fr4nlh,我在思南公馆。 网页链接 ,,,,2011-04-23,街旁分享足迹,0,9,0,,
201110420455379459,fbzj5I,427组团看球伐?@eastfox2002 @六个窗 @sagaadam @塞巴斯蒂安 @没钱吃肉了 注意是427不是428...... ,,,,2011-04-20,微博 weibo.com,0,7,6,,"eastfox2002,六个窗,sagaadam,塞巴斯蒂安,没钱吃肉了"
201110416347995475,ePtjaO,"刚经过紫竹,华师大我回来啦~ ",,,,2011-04-16,微博手机版,0,0,0,,
221110416342232368,eP8qVS,"一清早就被电钻声吵醒,挣扎了半天再也睡不着了.不带这样蹂躏周末才能小睡一会儿懒觉的上班族的!!! 物业装修管理都是 ,物业从来撒手不管的 ",,,,2011-04-16,微博 weibo.com,0,1,0,,
201110415338771882,eOscSz,"明后天睡不了懒觉,要不今儿个早点睡? ",,,,2011-04-15,微博 weibo.com,0,4,0,,
221110415316388069,eLe3RL,"电视购物啊,我错了!!早知道不该每次看到你就换台 ",,,,2011-04-15,微博 weibo.com,0,6,0,,
221110409189470927,eksJIK,"第一次穿瘦腿袜,耗时五分钟,穿上无明显不适,稍有效果,靴子的筒围松了点儿~可是脱下来以后,tmd酸死我了!! ",,,,2011-04-09,微博 weibo.com,0,11,0,,
20111040476542663,dVa7hz,今天是我减肥成功前最后一次吃冷饮！！！@Kyunghee 不要再勾引我啦～ ,,,,2011-04-04,微博 weibo.com,0,12,1,,Kyunghee
20111040468802862,dT7Tut,路上的人真心的少啊 ,,,,2011-04-04,微博手机版,0,3,4,,
22111040365484858,dS66BF,又看剧看的癫了......对毒舌港女就是有爱~ ,,,,2011-04-03,微博 weibo.com,0,8,0,,
201110328416226644,dieoqd,"睡前许个愿,明儿能成行 ",,,,2011-03-28,微博 weibo.com,0,1,0,,
221110328405151838,dfdS1R,有没有人4月11-15有兴趣同游费菲律宾长滩啊？？携程内部价啦～ ,,,,2011-03-28,微博 weibo.com,0,2,2,,
201110326359414630,d1B2rx,今天起的好早，耶！！ ,,,,2011-03-26,微博手机版,0,1,1,,
2111103252760485,cZqJ3J,"回到古代，@Jessie Zhu 名叫""莫影汐""，生活在土番的#女银#，是倾国倾城的流氓女。 回到古代的我 这个赞的~ ",https://ww2.sinaimg.cn/large/6f23b6b8jw6dfl7t4m2q7j.jpg,,,2011-03-25,回到古代的我,0,0,0,女银,Jessie
20111031272865790,bYucrT,"满眼的绿色,让我有找到组织的感觉~左边坐了个90后,右边坐了孩子他妈...... ",https://ww2.sinaimg.cn/large/6f23b6b8jw6df69ol4radj.jpg,,,2011-03-12,微博 weibo.com,0,3,3,,
20111031272895983,bYtECl,"偶然看见前几天的手机报,说近日是92年来月亮离地球最近的日子,可能会引发大灾难,然后专家跳出来辟谣.结果......地震来了! ",,,,2011-03-12,微博 weibo.com,0,0,2,,
20111031270800571,bYiQoH,"煽情是演唱会必上的桥段么？飙泪到不行"""""" ",,,,2011-03-12,微博手机版,0,4,0,,
20111031147449505,bTsMTn,我还没有去玩过呢......日本你不要面目全非阿 ,,,,2011-03-11,微博 weibo.com,0,0,2,,
2311103082706014753,bGzwvB,"天哪!!!我居然有5条黑色的连衣裙,有多少没有见过天日阿!!! ",,,,2011-03-08,微博 weibo.com,0,2,0,,
2211103072669596079,bB8lev,只有对食物的渴求才能体现出我的执行力！！ ,,,,2011-03-07,微博 weibo.com,0,0,0,,
2211103062259714620,bxi29D,"终于鼓起勇气把黑天鹅看完了,我果然不适合这么阴暗的电影......她是要告诉我们不要给自己太大压力么?! 火速来一集TBBT调节下心情吧~ ",,,,2011-03-06,微博 weibo.com,0,4,0,,
2211103062643491719,bwvEwv,"文森特婚宴上的核桃露味道不错,火速去TB买了一箱,陡然发现这居然是我第一次在TB买食物~ ",,,,2011-03-06,微博 weibo.com,0,13,4,,
2111103033143035,blxtRt,"和我同一天出生的竟然有【斯蒂芬·亨德利英国斯诺克选手】【奥兰多·布鲁姆英国电影演员】【孙海平奥运冠军刘翔的教练】,咋都是男滴?寻找同生缘 ",,,,2011-03-03,寻找同生缘,0,0,0,,
2211103032184076195,bkfxHV,哈哈，经过严肃的测试，我的心理年龄是17岁！你的心理年龄是几岁呢？快乐测一下：404 Not Found ,https://ww4.sinaimg.cn/large/6f23b6b8jw6devizxm2x0j.jpg,,,2011-03-03,丫丫网开心测试,0,4,0,,
2211103022166636031,bhfZa9,"网上找了个DISC来做了做,居然不是我自以为的那样!!我果然不了解我自己 ",,,,2011-03-02,微博 weibo.com,0,0,0,,
2011103012141435054,bcEY2x,"童鞋们,清明前后想去武夷山,有意向的报名阿~ ",,,,2011-03-01,微博 weibo.com,0,2,0,,
2011102212334048343,aFjXdH,开始减肥第一天，晚上只吃了苹果和酸奶，结果饿得睡不着觉........看来果然是吃饱了才有精力减肥啊 ,,,,2011-02-21,微博 weibo.com,0,4,1,,
2011102201932836791,aDjDYt,"借着看完香奈儿展的东风终于把下了N久的电影给看了,塔图和Coco还是挺神似的,只不过没想到是个爱情片...无爱阿 ",,,,2011-02-20,微博 weibo.com,0,5,0,,
2211102191915309654,aAhWNL,"粒粒和迈迈的战斗力太惊人了,继续往大悦城一刚~我先歇菜了... ",,,,2011-02-19,微博 weibo.com,0,8,0,,
2011102141805381444,ahk3a9,新年新气象～从今天开始我要早早的睡觉，谁看见我超过11点还在网上请怒斥我！！！ ,,,,2011-02-14,微博 weibo.com,0,12,1,,
2011102141799584444,agkI4p,今天公司空调真不给力，到现在都哇凉哇凉的，好多筒子们都没脱外套呢～ ,,,,2011-02-14,微博 weibo.com,0,4,0,,
2211102131791362665,aeyrlf,"又雨夹雪了,今年不是千年极寒也算的上上海25年来的最冷了,抖抖... ",,,,2011-02-13,微博 weibo.com,0,0,0,,
2011102112139088268,a81VqB,"特地去国金百丽宫看创战记.环境的确不错,像酒店多过电影院.但是居然碰到设备坏掉,整个换了个厅! 3D眼镜也不给力,除了字幕没看出3D效果来...也不知道是不是片子的问题. ",,,,2011-02-11,微博 weibo.com,0,6,0,,
2211102112123158722,a5hYEZ,昨晚的噩梦：本人再次踏入高考考场，并且大意的少做一张英语卷子，在大哭中醒过来...啧啧，真恐怖～我有日有所思了点神马，为啥会做这样的梦呢？ ,,,,2011-02-11,微博 weibo.com,0,5,2,,
2211102102103250008,a1DrEV,每天早上的班车，都会有个呱噪的声音告诉你，不要再睡了...[睡觉]  ,,,,2011-02-10,微博 weibo.com,0,2,1,,
2211102011567715471,9ChwW9,光明村买熟菜的队伍这叫一个叹为观止啊!堪比SB会~ ,,,,2011-02-01,微博 weibo.com,0,0,0,,
2211101251789970212,90p4Ph,倒计时：5 ,,,,2011-01-25,微博 weibo.com,0,0,0,,
2311101211334732515,8OBtS5,突然想喝可乐了.....广告害人啊害人! ,,,,2011-01-21,微博 weibo.com,0,0,0,,
2211101201300486204,8J2c2n,一直不理睬MSN更新提醒的后果就是....不能用了 ,,,,2011-01-20,微博 weibo.com,0,0,0,,
2211101201684505999,8J06ZP,天气预报难得准一回，这雪不是一丁点儿的大啊～话说这天气就该在家睡大觉！！ ,,,,2011-01-20,微博 weibo.com,0,0,0,,
2011101191671547489,8Gy3Gf,终究没能逃过头痛鼻塞咳嗽....前几天还YY现在抵抗力变好了呢 ,,,,2011-01-19,微博 weibo.com,0,0,0,,
2211101171254879924,8B9T1b,"金球真有爱,娜塔丽谢耳朵国王都有份 ~ ",,,,2011-01-17,微博 weibo.com,0,0,0,,
2211101051058569591,83wsZ9,又找到可以看大爆炸的地方了耶~真欢乐 ,,,,2011-01-05,微博 weibo.com,0,3,2,,
2011101021015169674,7VEDsj,"今天又去唱歌,但是非常不high...看来唱歌的情绪也是不能被过度消费啊~ ",,,,2011-01-02,微博 weibo.com,0,2,0,,
2211101011001264151,7Tziaz,"命运建筑师之远大前程,为嘛我觉得散场是最赞的部分?BTW,杨佑宁还是不比十七岁的天空时期成熟多少... ",,,,2011-01-01,微博 weibo.com,0,0,0,,
2011101011374625318,7RbKwB,新年第一条围脖~大家新年快乐 ,,,,2011-01-01,微博 weibo.com,0,0,0,,
201101116590368497,5WohsB,"看#亚运会#游泳比赛居然看到小学同学,还居然拿了[铜牌] !!! ",,,,2010-11-16,微博 weibo.com,0,2,0,亚运会,
