id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4224028460108571,Ga55A0sf9,吴世勋 #吴世勋2018本命年生日快乐# 【吴世勋0412生日应援】首先，这是一条真实的生日应援公告😂时常感谢，天使一样的你，在这温和的四月诞生为庆祝吴世勋本命年生日，和@Matcha_HunLay喫茶屋 略尽微薄之力，在首尔弘大地铁站投放为期一个月的led视频宣传（4.1-4.30）地点在弘大站8号口附近（详情见图）弘大的人流量大家都知道的哈另和我的小伙伴T继续去年的WWF公益应援正如吴世勋新年在官网上说的那样，希望大家能够把爱分享给身边的人，也希望首页的各位仙女们，在追星的同时，交好朋友，留下快乐的记忆【最后希望有能力的小仙女们多多的给我们认证哦比❤️么么哒】,"https://wx1.sinaimg.cn/large/0064fcCIgy1fpx6wa4m76j30m41v4b10.jpg,https://wx2.sinaimg.cn/large/0064fcCIgy1fpx6wbp0t2j30m41anas7.jpg",,,2018-04-01,吴世勋超话,766,79,146,吴世勋2018本命年生日快乐,Matcha_HunLay喫茶屋
4456080719318708,InwULD6dK,所以昨天的直播播到哪个部分？ ,,,,2020-01-02,,42,14,0,,
4456068317321400,InwALuID6,“to be honest.I want to make members to cry？”哈哈哈哈哈哈不光成员都哭了全场地粉痛哭流涕我戴着美瞳一直哭 ,https://wx3.sinaimg.cn/large/0064fcCIgy1gahhlqx1yxj31pc0yihdt.jpg,,,2020-01-01,,231,4,17,,
4456055436094640,InwfZpzuE,#exo五巡安可# 191231吴世勋超话 本命魔咒 小5递手机被拒现场（but拒绝也是有互动了（我要解读为是对我打招呼（好的我闭嘴了  你呜不污_的微博视频 ,,"http://f.video.weibocdn.com/0007JVT9lx07zP3Zhrl601041200cm9A0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&Expires=1577925587&ssig=Q9EAARmxnO&KID=unistore,video",,2020-01-01,,147,8,11,exo五巡安可,
4456034905232601,InvISlXeN,#exo五巡安可# 191231吴世勋超话可能是被那个爆炸头气死导致忘记蝴蝶效应世勋是在我们区的走位....正好挡住脸....但帅哥还是很帅的😭蝴蝶效应真好听呜呜 你呜不污_的微博视频 ,,"http://f.video.weibocdn.com/000qXgUKlx07zOY7z4yc01041201Jxqg0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&Expires=1577925587&ssig=DNE4BtNhWJ&KID=unistore,video",,2020-01-01,HUAWEI P30 Pro,277,2,67,exo五巡安可,
4455957901693027,IntIG76qT,看这种图我真的又要死了多年的彼此依靠 你们辛苦了 ,"https://wx1.sinaimg.cn/large/0064fcCIgy1gah4su6ea7j30u00u0qb5.jpg,https://wx1.sinaimg.cn/large/0064fcCIgy1gah4sv5ckaj30u0190qaa.jpg",,,2020-01-01,,464,9,64,,
4455953354938662,IntBlkILQ,第三段vcr里的吴世勋我真的反复去世虽然在妈妈心里你永远是个小甜甜（ 你呜不污_的微博视频 ,,"http://f.video.weibocdn.com/002zUnzDlx07zOBQdzII010412004yQ40E010.mp4?label=mp4_720p&template=720x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1577925587&ssig=Vk9fZujQ%2FQ&KID=unistore,video",,2020-01-01,,268,7,84,,
4455920173607072,InsJPf8mA,我永远的宝贝❤️ 韩国·인천국제공항 (Incheon International Airport) 你呜不污_的微博视频 ,,"http://f.video.weibocdn.com/000dvGSnlx07zOsMMSsE01041200tPs60E010.mp4?label=mp4_720p&template=720x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1577925587&ssig=keDXA6LsGQ&KID=unistore,video",韩国·인천국제공항 (Incheon International Airport),2020-01-01,,284,2,99,,
4455913823797988,InszAfW1S,#exo五巡安可# 191231EXO超话不知道下一次在巡演听到你的世界是什么时候纸花飞舞的时候就在想不管十年二十年 都会记住你们少年的样子我最疯狂的青春时代 因为你们 闪闪发光 韩国·仁川 你呜不污_的微博视频 ,,"http://f.video.weibocdn.com/000Lk0oplx07zOr3fXHq01041205HRFE0E030.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1577925587&ssig=jxo8hCe%2BFz&KID=unistore,video",韩国·仁川,2020-01-01,HUAWEI P30 Pro,380,9,99,exo五巡安可,
4455905427438783,Insm2vdan,#exo五巡安可# 191231边伯贤超话 un village这段拍的还挺不错的 可以随便看看尤其是和伴舞的互动 韩国·仁川 你呜不污_的微博视频 ,,"http://f.video.weibocdn.com/001lEt1vlx07zOoKNGeA01041202keg10E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&Expires=1577925587&ssig=0ZefQfW8Rv&KID=unistore,video",韩国·仁川,2020-01-01,HUAWEI P30 Pro,320,0,50,exo五巡安可,
4455859952272814,InraH9xgi,像做了一场好梦 现在要梦醒来😭 韩国·Seoul korea ,,,韩国·Seoul korea,2020-01-01,,119,1,3,,
4455702611344037,Inn4V5DE1,这件事不发誓不再干第二次👋除非六巡哈哈哈哈哈哈永远爱exo！！ 韩国·Seoul korea 你呜不污_的微博视频 ,,"http://f.video.weibocdn.com/003ipyZ6lx07zNvpmrPi010412006xAs0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&Expires=1577925588&ssig=5mLkgRDLKY&KID=unistore,video",韩国·Seoul korea,2019-12-31,,553,14,35,,
4455701369582658,Inn2UEcT0,我爱地呜呜呜呜呜呜呜 韩国·Seoul korea 你呜不污_的微博视频 ,,"http://f.video.weibocdn.com/004dVEEblx07zNv5x0Ck010412016Ge60E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1577925588&ssig=Hy3ed61x6P&KID=unistore,video",韩国·Seoul korea,2019-12-31,,417,4,98,,
4455699877154505,Inn0vu1df,啊啊啊啊啊啊地人！！你们是不是知道地粉今天哭的太伤心了！！安慰我们😭 韩国·Seoul korea 你呜不污_的微博视频 ,,"http://f.video.weibocdn.com/002EAmCHlx07zNuCXRrW01041200bAIR0E010.mp4?label=mp4_hd&template=592x1280.24.0&trans_finger=7c347e6ee1691b93dc7e5726f4ef34b3&Expires=1577925588&ssig=oQavdIPiiN&KID=unistore,video",韩国·Seoul korea,2019-12-31,,423,3,100,,
4455686836228175,InmFtq8er,我的青春时代是EXO ,https://wx1.sinaimg.cn/large/0064fcCIgy1gag9ociplhj30yi0i80vp.jpg,,,2019-12-31,,426,5,62,,
4455677722146945,InmqM90w9,来接我们的司机肯定觉得这群女的有病 说话说着说着就哭起来 韩国·Seoul korea ,,,韩国·Seoul korea,2019-12-31,,231,2,2,,
4455672114701932,InmhJjJbC,#exo五巡安可# 191231EXO超话好奇说了什么 说了一分多钟悄悄话 你呜不污_的微博视频 ,,"http://f.video.weibocdn.com/0001vxiSlx07zNnpllFm01041200Hygp0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&Expires=1577925588&ssig=qoBBFIImKe&KID=unistore,video",,2019-12-31,HUAWEI P30 Pro,415,0,118,exo五巡安可,
4455669707363531,InmdQuTAD,#exo五巡安可# 191231EXO超话在你的星球里 我有说永远的勇气we are one  exo 撒浪哈加 韩国·Seoul korea 你呜不污_的微博视频 ,,"http://f.video.weibocdn.com/002RDQjXlx07zNmrT8dO01041200hDOp0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1577925588&ssig=UJjqSQqo0Q&KID=unistore,video",韩国·Seoul korea,2019-12-31,HUAWEI P30 Pro,786,13,305,exo五巡安可,
4455669492636320,Inmdvb3Pi,#exo五巡安可# 191231吴世勋超话小哥哥说话的时候就看到世勋一直背对着粉丝 后来就开始抹眼泪 真的看得太难过了 你从来都不愿意把这一面给粉丝看 真的希望你生活里永远不要有泪眼 韩国·Seoul korea 你呜不污_的微博视频 ,,"http://f.video.weibocdn.com/001JjT4dlx07zNmHpzXi01041200pDUR0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&Expires=1577925588&ssig=ZHcyWYgnU%2B&KID=unistore,video",韩国·Seoul korea,2019-12-31,HUAWEI P30 Pro,406,3,97,exo五巡安可,
4455668716977713,InmcfthdL,#exo五巡安可# 191231我笑死哈哈哈哈哈哈哈哈灿勋真的笑死我 韩国·Seoul korea 你呜不污_的微博视频 ,,"http://f.video.weibocdn.com/000RYFWDlx07zNm9LM5201041200ePth0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&Expires=1577925588&ssig=5X2zpmVRJ%2F&KID=unistore,video",韩国·Seoul korea,2019-12-31,HUAWEI P30 Pro,286,0,57,exo五巡安可,
4455668716853627,InmcfsKWn,我常因为应援的嘴速不够快而羞愧！！丽姐太强了 韩国·Seoul korea 你呜不污_的微博视频 ,,"http://f.video.weibocdn.com/000vtCD5lx07zNmcI9SM01041200pDIb0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1577925588&ssig=11hJV1plfE&KID=unistore,video",韩国·Seoul korea,2019-12-31,HUAWEI P30 Pro,260,0,37,,
4455668398188951,InmbJymjR,#exo五巡安可# 191231吴世勋超话我嫉妒了呜呜呜 突然跳坑里😭 韩国·Seoul korea 你呜不污_的微博视频 ,,"http://f.video.weibocdn.com/000BpQg3lx07zNm6Ls0801041200pmxV0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&Expires=1577925588&ssig=snPkRtgKdA&KID=unistore,video",韩国·Seoul korea,2019-12-31,HUAWEI P30 Pro,302,3,83,exo五巡安可,
4455668306187237,InmbApXA9,#exo五巡安可# 191231EXO超话真的哭了 这vcr是要杀我 你呜不污_的微博视频 ,,"http://f.video.weibocdn.com/000jNwkrlx07zNm4sqP601041201PN7c0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1577925588&ssig=k%2BsfocPZYP&KID=unistore,video",,2019-12-31,HUAWEI P30 Pro,527,15,208,exo五巡安可,
4455666200128782,Inm8c0xv8,#exo五巡安可# 191231吴世勋超话我真的泪洒奥体 一开始看吴世勋一直背对粉丝 后来发现在默默抹眼泪 整个情绪收不住 我真的疯狂抽噎看伯贤抱住他安慰我整个情绪都要哭崩溃😭你要一直开心啊😭😭 韩国·Seoul korea 你呜不污_的微博视频 ,,"http://f.video.weibocdn.com/003PZHCIlx07zNlthmYE01041201XrZi0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&Expires=1577925588&ssig=S5Nwbkk6Zt&KID=unistore,video",韩国·Seoul korea,2019-12-31,HUAWEI P30 Pro,680,7,200,exo五巡安可,
4455661864019603,Inm1cgRGj,不要哭啊😭 ,"https://wx4.sinaimg.cn/large/0064fcCIgy1gag655r7h2j31o02yo4qs.jpg,https://wx1.sinaimg.cn/large/0064fcCIgy1gag66rovwvj31o02yo4qs.jpg,https://wx3.sinaimg.cn/large/0064fcCIgy1gag67li18pj31o02yo1l0.jpg,https://wx2.sinaimg.cn/large/0064fcCIgy1gag6t3eua8j31o02yo1l0.jpg",,,2019-12-31,HUAWEI P30 Pro,420,11,207,,
4455658361715845,InlVy7cmV,该感谢的是我们啊😭 ,https://wx2.sinaimg.cn/large/0064fcCIgy1gag6em7fdwj32tc240npd.jpg,,,2019-12-31,HUAWEI P30 Pro,2512,184,3558,,
4455656407187512,InlSou9NC,我他妈的泪洒奥体 韩国·Seoul korea ,,,韩国·Seoul korea,2019-12-31,HUAWEI P30 Pro,154,5,0,,
4455654771512285,InlPL6lpH,不要哭😭 ,,,,2019-12-31,HUAWEI P30 Pro,79,5,0,,
